0.0000000e+00	0.0000000e+00	-0.0000000e+00
9.9999998e-03	-1.0013580e-05	-9.9999907e-06
2.0000000e-02	-4.0054321e-05	-3.9999839e-05
2.9999999e-02	-9.0122223e-05	-8.9999194e-05
3.9999999e-02	-1.6021729e-04	-1.5999743e-04
5.0000001e-02	-2.4986267e-04	-2.4999378e-04
6.0000002e-02	-3.6001205e-04	-3.5998705e-04
7.0000000e-02	-4.9018860e-04	-4.8997597e-04
7.9999998e-02	-6.3991547e-04	-6.3995901e-04
8.9999996e-02	-8.1014633e-04	-8.0993428e-04
9.9999994e-02	-9.9992752e-04	-9.9989993e-04
1.0999999e-01	-1.2097359e-03	-1.2098534e-03
1.1999999e-01	-1.4400482e-03	-1.4397925e-03
1.3000000e-01	-1.6894341e-03	-1.6897144e-03
1.4000000e-01	-1.9598007e-03	-1.9596161e-03
1.5000001e-01	-2.2492409e-03	-2.2494942e-03
1.6000001e-01	-2.5591850e-03	-2.5593452e-03
1.7000002e-01	-2.8891563e-03	-2.8891657e-03
1.8000002e-01	-3.2391548e-03	-3.2389518e-03
1.9000003e-01	-3.6087036e-03	-3.6086990e-03
2.0000003e-01	-3.9982796e-03	-3.9984030e-03
2.1000004e-01	-4.4078827e-03	-4.4080587e-03
2.2000004e-01	-4.8375130e-03	-4.8376620e-03
2.3000005e-01	-5.2871704e-03	-5.2872067e-03
2.4000005e-01	-5.7568550e-03	-5.7566888e-03
2.5000006e-01	-6.2460899e-03	-6.2461011e-03
2.6000005e-01	-6.7553520e-03	-6.7554386e-03
2.7000004e-01	-7.2846413e-03	-7.2846957e-03
2.8000003e-01	-7.8339577e-03	-7.8338645e-03
2.9000002e-01	-8.4028244e-03	-8.4029408e-03
3.0000001e-01	-8.9917183e-03	-8.9919157e-03
